name,latitude,longitude,country,population,is_capital,is_rural
Verkhnevilyuysk,63.4457,120.317,RU,6341.0,False,True
Greymouth,-42.4667,171.2,NZ,8160.0,False,True
Margate,26.2466,-80.2119,US,58796.0,False,False
Reggane,26.7,0.1666,DZ,32974.0,False,False
Freetown,8.4833,-13.2331,SL,951000.0,True,False
Shingu,33.7153,130.447,JP,32691.0,False,False
Viedma,-40.8,-63.0,AR,59122.0,False,False
Fort Bragg,39.4399,-123.801,US,10374.0,False,True
Vikhorevka,56.1167,101.167,RU,21118.0,False,False
Quang Ngai,15.1206,108.792,VN,260252.0,False,False
Qaqortoq,60.7167,-46.0333,GL,3093.0,False,True
Leava,-14.2933,-178.158,WF,,False,False
Khandyga,62.666,135.6,RU,6796.0,False,True
Jeddah,21.5428,39.1728,SA,3976000.0,False,False
Barreiras,-12.1528,-44.99,BR,158292.0,False,False
Tidjikja,18.55,-11.4166,MR,19981.0,False,False
Port Douglas,-16.4834,145.465,AU,3504.0,False,True
Rundu,-17.9167,19.7667,NA,63431.0,False,False
Hithadhoo,-0.6,73.0833,MV,,False,False
Kidal,18.4411,1.4078,ML,,False,False
Changchun,43.9,125.2,CN,7674439.0,False,False
Wailua Homesteads,22.065,-159.377,US,5900.0,False,True
Alotau,-10.3167,150.433,PG,11624.0,False,True
Mandi Bahauddin,32.5861,73.4917,PK,157352.0,False,False
Port Shepstone,-30.7411,30.4547,ZA,52793.0,False,False
Katsuura,35.1525,140.321,JP,17324.0,False,False
Lipany,49.1528,20.9619,SK,6484.0,False,True
Batticaloa,7.717,81.7,LK,129222.0,False,False
Jiayuguan,39.8112,98.2862,CN,231853.0,False,False
Luleburgaz,41.4056,27.3569,TR,148037.0,False,False
Tumaco,1.81,-78.81,CO,86713.0,False,False
Makassar,-5.1331,119.414,ID,1651146.0,False,False
Mirnyy,62.5333,113.95,RU,35223.0,False,False
Kingston,17.9714,-76.7931,JM,580000.0,True,False
Dubbo,-32.2569,148.601,AU,38392.0,False,False
Siguiri,11.4171,-9.1666,GN,50159.0,False,False
Anamosa,42.1091,-91.2758,US,5500.0,False,True
Lagunas,-20.9829,-69.6833,CL,10.0,False,True
Jalalpur Jattan,32.7667,74.2167,PK,90130.0,False,False
Saint-Philippe,45.35,-73.47,CA,5495.0,False,True
Luganville,-15.5126,167.177,VU,13397.0,False,True
Mossel Bay,-34.1833,22.1333,ZA,59031.0,False,False
Tiksi,71.6269,128.835,RU,5700.0,False,True
Kamina,-8.73,25.01,CD,128803.0,False,False
Port Lincoln,-34.7322,135.859,AU,16326.0,False,False
Keflavik,64.0,-22.5819,IS,16463.0,False,False
Cabo San Lucas,22.8897,-109.916,MX,81111.0,False,False
Byalynichy,53.9956,29.7096,BY,10000.0,False,True
Antsiranana,-12.2765,49.3115,MG,82937.0,False,False
Az Zubayr,30.3892,47.7081,IQ,370000.0,False,False
Kyrenia,35.3403,33.3192,CY,33207.0,False,False
Iringa,-7.77,35.69,TZ,111820.0,False,False
Fort St. John,56.2465,-120.848,CA,20155.0,False,False
Port Alfred,-33.6,26.8833,ZA,17959.0,False,False
Sisimiut,66.9389,-53.6722,GL,5539.0,False,True
Kudahuvadhoo,2.6717,72.8936,MV,,False,False
Radolfzell Am Bodensee,47.7369,8.9697,DE,31203.0,False,False
Ulanhot,46.0726,122.072,CN,327081.0,False,False
Saddiqabad,28.3006,70.1302,PK,189876.0,False,False
Muynoq,43.7667,59.0333,UZ,18196.0,False,False
Nakasongola,1.3089,32.4564,UG,6921.0,False,True
Ancud,-41.8682,-73.8287,CL,28162.0,False,False
Eisenstadt,47.8456,16.5189,AT,14476.0,False,True
Dunedin,-45.8667,170.5,NZ,126255.0,False,False
Pacific Grove,36.6192,-121.925,US,15413.0,False,False
Puerto Ayora,-0.7444,-90.3139,EC,11822.0,False,True
Three Points,32.0596,-111.287,US,5161.0,False,True
Lerwick,60.155,-1.145,GB,6958.0,False,True
Kostroma,57.7667,40.9333,RU,277648.0,False,False
Ilulissat,69.2167,-51.1,GL,4670.0,False,True
Sarh,9.15,18.3833,TD,169196.0,False,False
Victoria Falls,-17.9333,25.8333,ZW,33060.0,False,False
Tokmok,42.839,75.291,KG,53231.0,False,False
Aydincik,36.1667,33.35,TR,11088.0,False,True
Queenstown,-31.9,26.8833,ZA,105309.0,False,False
Hinton,53.4114,-117.564,CA,9882.0,False,True
Arafat,18.0583,-15.9621,MR,,False,False
Kamloops,50.6761,-120.341,CA,100046.0,False,False
Ternate,0.7833,127.367,ID,204215.0,False,False
Conception Bay South,47.5167,-52.9833,CA,26199.0,False,False
Madalena,38.5356,-28.5234,PT,6049.0,False,True
Buenaventura,3.8724,-77.0505,CO,252805.0,False,False
Tshabong,-26.02,22.4056,BW,9679.0,False,True
Coari,-4.085,-63.1414,BR,53305.0,False,False
Aginskoye,51.1031,114.523,RU,11491.0,False,True
Whangarei,-35.725,174.324,NZ,52600.0,False,False
Noshiromachi,40.2122,140.027,JP,50842.0,False,False
Hadibu,12.6519,54.0239,YE,11396.0,False,True
Sorong,-0.8667,131.25,ID,272349.0,False,False
Shimanovsk,52.0,127.667,RU,18643.0,False,False
Byron Bay,-28.6483,153.618,AU,5521.0,False,True
Las Tablas,7.7667,-80.2833,PA,9255.0,False,True
Ishinari,33.3211,130.399,JP,16328.0,False,False
Ciudad Lazaro Cardenas,17.9561,-102.192,MX,79200.0,False,False
Biggleswade,52.0855,-0.2557,GB,16551.0,False,False
Banda Aceh,5.55,95.3175,ID,235305.0,False,False
Highland Park,40.5006,-74.4283,US,13711.0,False,True
Guangshui,31.6189,113.823,CN,755910.0,False,False
Freeland,43.5198,-84.1124,US,7125.0,False,True
Lillehammer,61.1161,10.4578,NO,20580.0,False,False
Karbala',32.6167,44.0333,IQ,690100.0,False,False
Polyarnyy,69.1983,33.4561,RU,17605.0,False,False
Tarawa,1.3382,173.018,KI,28802.0,True,False
Rawson,-43.3,-65.1,AR,31787.0,False,False
Al Wajh,26.2324,36.4636,SA,43237.0,False,False
Florence,43.7714,11.2542,IT,382258.0,False,False
Prince Rupert,54.3122,-130.327,CA,12220.0,False,True
Ciudad Lazaro Cardenas,17.9561,-102.192,MX,79200.0,False,False
San Pablo De Las Salinas,19.6656,-99.0917,MX,189453.0,False,False
Benguela,-12.55,13.4167,AO,513000.0,False,False
Karukh,34.4868,62.5918,AF,17484.0,False,False
Espargos,16.7546,-22.9453,CV,6173.0,False,True
