city,Season_Year,co,no,no2,o3,so2,pm2_5,pm10,nh3
Aasiaat,Autumn_2022,187.49856227106227,0.0015247252747252749,0.180260989010989,70.55587912087913,0.09342032967032968,0.590054945054945,1.3971428571428572,1.3736263736263736e-05
Aasiaat,Autumn_2023,257.0774027777778,0.0012685185185185186,0.121875,78.67440277777777,0.0748287037037037,0.5498796296296297,1.2359537037037036,0.004638888888888889
Aasiaat,Spring_2022,227.89226143790847,0.018849673202614377,0.16522875816993465,77.79146405228758,0.28630065359477125,0.5199607843137255,0.7550457516339869,0.0
Aasiaat,Spring_2023,229.8532427536232,0.014483695652173913,0.2339039855072464,84.03644474637682,0.31600996376811596,0.5372644927536232,0.7619972826086957,0.0007246376811594203
Aasiaat,Spring_2024,251.61197322057788,0.010993657505285411,0.25447498238195915,83.93154334038056,0.2589217758985201,0.5503805496828753,0.6953276955602536,0.0009302325581395349
Aasiaat,Summer_2022,179.7182037037037,0.0220787037037037,0.3135277777777778,52.63701851851852,0.22057407407407406,0.7507685185185186,1.4105694444444443,0.0
Aasiaat,Summer_2023,221.8277355072464,0.021082427536231883,0.33778532608695655,48.3906884057971,0.2180661231884058,0.7643568840579711,1.4217708333333334,0.0009827898550724638
Aasiaat,Winter_2022,210.08653273809523,0.0,0.10416666666666667,87.9082886904762,0.12099702380952382,0.5038839285714286,0.6305803571428571,0.00013392857142857144
Aasiaat,Winter_2023,230.39743371212123,0.0005823863636363636,0.11762784090909091,80.53176609848485,0.16015625,0.5298674242424242,0.6257765151515152,0.0005871212121212121
Aasiaat,Winter_2024,250.698354519774,0.0002824858757062147,0.11925141242937853,80.91357344632767,0.13790254237288135,0.5362641242937853,-6.349180790960452,7.062146892655367e-06
Abeokuta,Autumn_2022,970.5061034798536,0.2813782051282051,6.6243360805860805,27.888438644688645,4.927051282051282,35.919038461538456,68.22811355311356,4.522225274725274
Abeokuta,Autumn_2023,1017.4002621722847,0.280121722846442,6.641741573033708,27.037720037453184,4.777125468164794,38.76045411985019,72.82194288389513,4.903515917602996
Abeokuta,Spring_2022,995.3323921568627,0.4365490196078431,6.900666666666667,26.09816993464052,4.681137254901961,37.92857516339869,70.48713725490197,4.877986928104575
Abeokuta,Spring_2023,842.1610280797101,0.2670289855072464,6.1025860507246374,26.440969202898554,4.642151268115942,26.888496376811595,57.54590126811595,5.035461956521739
Abeokuta,Spring_2024,667.698830162086,0.17967582804792107,4.386906272022552,23.27443974630021,3.5151444679351656,15.285905567300917,39.040218463706836,4.687773079633545
Abeokuta,Summer_2022,765.6029212962964,0.12891203703703702,4.5109259259259264,32.28386111111111,3.858467592592593,23.922662037037036,49.45636574074074,3.608384259259259
Abeokuta,Summer_2023,759.4642300724638,0.09063858695652174,4.420638586956522,26.214664855072463,4.031082427536232,21.559945652173912,44.41878170289855,3.5012907608695656
Abeokuta,Winter_2022,1039.4054910714285,0.2265625,6.946383928571429,40.49861607142857,5.115669642857143,87.35956845238096,192.39007440476192,7.020074404761904
Abeokuta,Winter_2023,1125.347021780303,0.19032196969696968,7.215317234848484,46.69744791666666,5.32890625,108.07935606060606,255.33161931818182,7.844176136363637
Abeokuta,Winter_2024,1000.6577330508475,0.16026129943502826,6.5417655367231635,45.21347457627119,5.364646892655367,95.67396186440678,221.46194915254236,7.993968926553672
Acapulco De Juarez,Autumn_2022,340.1022206959707,0.6998489010989011,7.891314102564103,43.66158424908425,1.7708882783882784,8.103443223443223,9.908992673992675,0.882275641025641
Acapulco De Juarez,Autumn_2023,369.7108012820513,0.7105677655677656,8.775462454212455,45.27809523809524,1.8745192307692307,7.658319597069597,9.151153846153846,0.9478250915750916
Acapulco De Juarez,Spring_2022,294.1943006535948,0.2397516339869281,5.753385620915033,54.72922875816994,1.463045751633987,7.428849673202614,14.233503267973855,0.855111111111111
Acapulco De Juarez,Spring_2023,305.56402014652014,0.36419871794871794,6.436190476190476,56.654253663003665,1.5711355311355313,7.806346153846154,13.727110805860805,0.8596565934065934
Acapulco De Juarez,Spring_2024,337.2745102184637,0.2629105003523608,7.969203664552501,64.10043692741367,2.119189570119803,10.639774489076816,18.145637773079635,1.4080267794221282
Acapulco De Juarez,Summer_2022,313.42453703703706,0.5177962962962963,6.294828703703704,38.88930555555555,1.482773148148148,4.954370370370371,6.286782407407408,0.781087962962963
Acapulco De Juarez,Summer_2023,334.3922554347826,0.6305027173913044,6.050846920289855,39.47098731884058,1.4549682971014493,5.755534420289854,7.943926630434782,0.6782065217391304
Acapulco De Juarez,Winter_2022,426.28239583333334,0.6817857142857143,13.608571428571427,55.9053125,2.7914285714285714,17.531071428571426,20.46964285714286,1.6036904761904762
Acapulco De Juarez,Winter_2023,398.8994649621212,0.6150189393939395,12.478986742424242,56.11949810606061,2.495407196969697,12.966496212121212,16.40640625,1.4317566287878787
Acapulco De Juarez,Winter_2024,365.30574858757063,0.44644067796610165,10.385084745762713,55.112464689265536,2.166475988700565,9.76430790960452,6.5704096045197735,1.2434745762711865
Acarau,Autumn_2022,256.20577777777777,0.04288888888888889,1.212718954248366,37.47235294117647,0.389281045751634,2.9731633986928103,4.36318954248366,0.17375163398692808
Acarau,Autumn_2023,261.87328351449275,0.03095108695652174,0.7735371376811594,34.33185688405797,0.24322010869565217,2.416222826086957,4.231983695652174,0.12298007246376813
Acarau,Autumn_2024,280.2179210711769,0.04199436222692037,0.9787949260042283,24.64289640591966,0.10109936575052855,1.2784425651867513,1.85184637068358,0.16266384778012685
