city,Month_Year,co,no,no2,o3,so2,pm2_5,pm10,nh3
Aasiaat,01_2023,222.24131720430108,0.0,0.07139784946236559,78.91672043010753,0.1106989247311828,0.5069354838709678,0.5711693548387097,0.00037634408602150543
Aasiaat,01_2024,245.69026388888886,0.0,0.07720833333333334,82.59079166666668,0.08719444444444445,0.5315694444444444,0.6960277777777778,0.0
Aasiaat,02_2023,231.02323717948718,0.001971153846153846,0.21455128205128204,71.9394391025641,0.3371955128205128,0.5924679487179487,0.762051282051282,0.0014743589743589744
Aasiaat,02_2024,255.87913793103448,0.0005747126436781609,0.1627442528735632,79.17852011494253,0.19035919540229887,0.5411206896551725,-13.637327586206897,1.4367816091954022e-05
Aasiaat,03_2023,240.11073924731184,0.012056451612903227,0.2927284946236559,85.1121505376344,0.3526478494623656,0.5281317204301076,0.5943548387096774,0.0012096774193548388
Aasiaat,03_2024,259.0028091397849,0.008897849462365591,0.2510752688172043,81.71389784946237,0.3126747311827957,0.5577016129032258,0.678024193548387,0.00125
Aasiaat,04_2022,252.09,0.014761904761904763,0.10095238095238096,81.23238095238096,0.32,0.5119047619047619,1.2071428571428573,0.0
Aasiaat,04_2023,234.45594444444444,0.021833333333333333,0.27366666666666667,84.62434722222223,0.3709027777777778,0.56675,0.8302638888888888,0.0006805555555555556
Aasiaat,04_2024,243.4656296296296,0.013303703703703705,0.25822222222222224,86.37588148148149,0.1996740740740741,0.5423111111111111,0.7144,0.0005777777777777778
Aasiaat,05_2022,227.20926075268818,0.018965053763440858,0.16704301075268818,77.69434139784947,0.2853494623655914,0.5201881720430107,0.7422849462365592,0.0
Aasiaat,05_2023,215.14151881720431,0.009798387096774193,0.1365994623655914,82.39180107526882,0.22625,0.5178629032258065,0.8635752688172043,0.000282258064516129
Aasiaat,06_2022,191.28715277777778,0.025916666666666668,0.23630555555555557,59.54709722222222,0.18816666666666665,0.6340277777777777,1.1238055555555555,0.0
Aasiaat,06_2023,200.56173611111112,0.017222222222222222,0.19083333333333335,59.450611111111115,0.18822222222222224,0.6224722222222222,1.1804444444444444,0.0009166666666666668
Aasiaat,07_2022,169.99639367816093,0.026724137931034484,0.390617816091954,50.26064655172414,0.26852011494252875,0.8839224137931035,1.8306465517241381,0.0
Aasiaat,07_2023,228.51086021505378,0.02774193548387097,0.41325268817204297,30.1059811827957,0.22978494623655915,0.8715591397849463,1.423521505376344,0.0020161290322580645
Aasiaat,08_2022,177.61704301075267,0.014018817204301075,0.3161424731182796,48.17290322580645,0.2070833333333333,0.7391801075268818,1.2951075268817203,0.0
Aasiaat,08_2023,235.7246102150538,0.018158602150537634,0.40452956989247313,55.97224462365591,0.23522849462365591,0.7944623655913979,1.6535618279569892,1.3440860215053763e-05
Aasiaat,09_2022,181.54711111111112,0.004111111111111111,0.28712499999999996,57.752,0.11401388888888889,0.6996666666666667,1.7419166666666668,4.1666666666666665e-05
Aasiaat,09_2023,249.21463414634147,0.003443328550932568,0.14028694404591105,69.88591104734576,0.09249641319942611,0.5805738880918221,1.674906743185079,0.011922525107604017
Aasiaat,10_2022,185.7191129032258,0.0004973118279569893,0.1443010752688172,73.56305107526882,0.07272849462365591,0.5709408602150539,1.8237768817204303,0.0
Aasiaat,10_2023,287.35707940780617,0.00041722745625841185,0.10654104979811574,81.61240915208613,0.06565275908479139,0.5681965006729476,1.3808882907133244,0.002220726783310902
Aasiaat,11_2022,195.2887777777778,0.0,0.11055555555555555,80.25234722222223,0.09420833333333332,0.5001944444444444,0.6115138888888889,0.0
Aasiaat,11_2023,233.44205555555556,4.1666666666666665e-05,0.11987500000000001,84.15029166666666,0.06719444444444445,0.501263888888889,0.6614583333333334,8.333333333333333e-05
Aasiaat,12_2022,210.08653273809523,0.0,0.10416666666666667,87.9082886904762,0.12099702380952382,0.5038839285714286,0.6305803571428571,0.00013392857142857144
Aasiaat,12_2023,238.02868279569893,0.0,0.08256720430107527,89.35327956989246,0.06112903225806452,0.5002956989247312,0.5660887096774194,5.3763440860215054e-05
Abeokuta,01_2023,1094.1359543010753,0.16771505376344087,6.8963440860215055,48.20138440860215,5.310443548387097,103.04102150537635,232.01030913978497,7.6157392473118275
Abeokuta,01_2024,1029.5627916666667,0.171875,6.8537083333333335,46.81829166666667,5.169986111111111,97.03366666666668,219.53440277777776,8.10923611111111
Abeokuta,02_2023,931.7869230769231,0.15009615384615385,6.609214743589743,46.76028846153846,5.830673076923077,102.43833333333333,312.4496314102564,7.328717948717949
Abeokuta,02_2024,970.7559482758621,0.14824712643678162,6.219066091954024,43.55331896551724,5.566020114942528,94.26737068965517,223.45596264367816,7.874727011494254
Abeokuta,03_2023,766.3482795698925,0.15938172043010754,5.572567204301075,31.579086021505375,4.794637096774194,22.726344086021506,50.28966397849462,5.251129032258064
Abeokuta,03_2024,653.4216532258065,0.1439516129032258,4.14739247311828,24.68400537634409,3.669462365591398,14.216989247311828,37.55521505376344,4.760389784946237
Abeokuta,04_2022,1183.5109523809524,1.8166666666666667,8.75047619047619,20.65904761904762,4.551428571428572,45.67952380952381,83.07619047619048,4.411428571428571
Abeokuta,04_2023,807.1918472222222,0.24725000000000003,5.831875,21.238083333333332,4.383055555555556,24.483874999999998,55.11406944444444,4.891972222222222
Abeokuta,04_2024,683.4354518518519,0.21905185185185186,4.650903703703704,21.720785185185186,3.3450518518518515,16.464088888888888,40.67702222222223,4.607733333333333
Abeokuta,05_2022,990.0209005376345,0.39759408602150537,6.848454301075269,26.251693548387095,4.684798387096775,37.709798387096775,70.13180107526881,4.891155913978495
