so2,aqi,dew,pm10,r,uvi,d,wd,co.v,h.v,no2.v,o3.v,p.v,pm25.v,t.v,w.v,wg.v,no2,wg,so2.v,co,o3,pm25,aqi.v,dew.v,pm10.v,h,p,t,w,r.v,uvi.v,d.v,wd.v,city
,,,,,,,,,71.0,16.0,19.3,1004.0,51.0,11.0,4.1,11.8,,,,,,,,6.0,25.0,,,,,,,,,tura
,,,,,,,,,93.8,,,1010.0,42.0,16.5,1.5,,,,,,,,,15.5,10.0,,,,,0.1,,,,whangarei
,,,,,,,,,56.2,1.0,44.8,1003.0,25.0,18.6,5.6,,,,1.5,,,,,9.7,8.0,,,,,99.0,,,,noshiro
,,,,,,,,,87.3,,,1006.4,1.0,27.8,1.0,,,,,,,,,25.5,,,,,,0.1,,,,sorong
,,,,,,,,,26.2,,,637.2,,-9.6,1.0,,,,,,,,,-25.5,,,,,,,,,,rikaze
,,,,,,,,,82.3,8.4,25.0,1003.3,21.0,6.2,1.2,4.0,,,3.7,,,,,,19.0,,,,,,,,,biggleswade
,,,,,,,,,78.2,,32.0,1022.0,27.0,7.0,0.2,2.7,,,,,,,,,,,,,,,,,,highland park
,,,,,,,,,91.0,10.9,,1011.1,24.0,2.5,0.2,2.0,,,,,,,,,48.0,,,,,,,,,lillehammer
,,,,,,,,,79.9,,,1009.9,,13.3,3.0,,,,3.4,,,,,9.9,,,,,,0.2,,,,constantia
,,,,,,,,11.0,49.0,1.0,35.0,1016.0,,23.0,5.6,,,,5.0,,,,,12.0,5.0,,,,,,,,,al wajh
,,,,,,,,0.1,51.0,32.5,,1008.0,25.0,16.0,1.0,16.4,,,0.7,,,,,6.0,13.0,,,,,,,,,florence
,,,,,,,,2.3,82.0,1.0,27.2,1019.1,5.0,13.0,3.2,9.7,,,,,,,,10.0,,,,,,,,,,salinas
,,,,,,,,,73.8,18.0,14.5,1029.5,20.0,3.88889,0.8,0.8,,,,,,,,,,,,,,,,,,wayne
,,,,,,,,1.3,74.1,4.7,13.6,1019.0,34.0,12.9,3.6,,,,0.8,,,,,8.4,15.0,,,,,99.8,,,,traralgon
,,,,,,,,,74.0,,,1010.1,,29.0,4.1,9.7,,,,,,,,24.0,,,,,,,,,,acapulco de juarez
,,,,,,,,6.0,204.7,,2.0,1.62,,-15.66,7.7,12.8,,,6.2,,,,,6.0,,,,,,,,,,east london
,,,,,,,,,81.0,16.8,,1015.0,13.0,12.2,9.5,14.5,,,,,,,,,,,,,,,,,,ontario
